precip,snofall,snomlt,et,flo_out
9.09E-02,0,0,1.37,0.133
0,0,0,3.11,0.125
0,0,0,2.69,0.12
0.565,0,0,0.908,0.121
0,0,0,3.31,0.117
0,0,0,3.38,0.114
0,0,0,3.13,0.11
0,0,0,3.83,0.107
0,0,0,3.61,0.108
1.66,0,0,3.55,0.107
0,0,0,2.61,0.109
4.74E-02,0,0,3.85,0.105
0.262,0,0,1.01,0.106
0.225,0,0,2.78,0.105
0.503,0,0,1.94,0.102
14.2,0,0,3.87,0.114
14.5,0,0,0.856,0.157
4.52,0,0,1.53,0.302
4.34,0,0,2.98,0.155
9.34E-03,0,0,3.11,0.156
8.41,0,0,4.31,0.123
3.27,0,0,0.683,0.182
4.95,0,0,0.615,0.212
0.695,0,0,0.597,0.179
4.74E-02,0,0,3.33,0.159
12.5,0,0,1.28,0.253
3.94,0,0,3.56,0.203
2.36,0,0,1.44,0.174
19.5,0,0,1.11,0.39
0.373,0,0,2.13,0.635
0,0,0,3.39,0.221
2.16,0,0,2.93,0.177
0,0,0,2.79,0.159
4.74E-02,0,0,1.39,0.147
7.73,0,0,1.2,0.156
2.13,0,0,0.835,0.195
0,0,0,3.31,0.158
0,0,0,3.25,0.137
0,0,0,2.97,0.129
2.98,0,0,3.3,0.126
2.99,0,0,1.86,0.136
0,0,0,2.34,0.134
2.65,0,0,1.16,0.132
3.44,0,0,1.37,0.137
0.125,0,0,1.49,0.15
9.07,0,0,3.22,0.135
10.8,0,0,0.593,0.521
0.258,0,0,2.12,0.281
2.24,0,0,1.3,0.202
0,0,0,1.6,0.22
0,0,0,1.46,0.155
0.653,0,0,1.99,0.146
0.139,0,0,0.839,0.145
10.9,0,0,1.35,0.199
2.07,0,0,1.87,0.253
0.622,0,0,1.96,0.179
3.56,0,0,1.86,0.162
0,0,0,1.63,0.149
0,0,0,2.11,0.14
0,0,0,1.25,0.136
0,0,0,1.65,0.134
0,0,0,1.86,0.131
0,0,0,1.36,0.13
0,0,0,1.1,0.128
7.05E-02,0,0,1.2,0.126
1.56,0,0,1.37,0.125
0,0,0,1.31,0.124
13.7,0,0,1.26,0.132
5.41,0,0,0.707,0.26
13.2,0,0,3.1,0.226
3.66,0,0,2.26,0.353
21.7,0,0,1.07,2.124
0.328,0,0,2.43,0.559
0.157,0,0,2.17,0.292
1.7,0,0,2.02,0.241
21.6,0,0,1.32,0.57
12.6,0,0,1.18,1.686
8.39,0,0,2.11,0.782
16.1,0,0,0.993,2.057
8.02,0,0,1.77,1.107
0.513,0,0,1.72,0.762
4.83,0,0,0.677,0.754
4.34,0,0,0.593,0.854
0,0,0,1.26,0.661
2.04,0,0,0.559,0.539
4.65,0,0,0.394,0.616
4.08,0,0,1.53,0.713
0,0,0,1.52,0.533
7.84,0,0,2.69,0.553
0,0,0,1.69,0.561
