jday,mon,day,yr,precip,snofall,snomlt,et,pet,Perc,lai,tmx,tmn,tmpav,solarad,phubas
56,2,25,2002,22.4,0,0,0.416,0.513,0.773,2.75,10.5,6.13,8.33,1.28,9.75E-02
57,2,26,2002,1.90E-04,0,0,1.7,1.9,0.721,2.75,8.49,4.09,6.29,8.2,9.93E-02
58,2,27,2002,0.249,0,0,1.71,2.1,0.7,2.75,6.14,1.74,3.94,9.49,0.1
59,2,28,2002,0,0,0,0.837,1.07,0.681,2.75,5.8,1.4,3.6,7.5,0.101
60,3,1,2002,9.53E-03,0,0,1.09,1.39,0.664,2.75,5.67,-0.33,2.67,9.95,0.102
61,3,2,2002,6.21E-02,0,0,0.573,0.705,0.648,2.75,6.7,0.7,3.7,3.07,0.103
62,3,3,2002,0,0,0,0.494,0.629,0.634,2.75,9.55,3.55,6.55,2.24,0.105
63,3,4,2002,0.268,0,0,0.615,0.7,0.621,2.75,9.36,3.37,6.36,3.08,0.107
64,3,5,2002,4.28,0,0,1.2,1.43,0.618,2.75,9.06,3.06,6.06,8.74,0.109
65,3,6,2002,0.344,0,0,0.668,0.809,0.606,2.75,11.6,5.57,8.57,1.99,0.111
66,3,7,2002,0,0,0,1.19,1.52,0.594,2.75,11.6,5.63,8.63,7.46,0.113
67,3,8,2002,8.21,0,0,0.591,0.736,0.608,2.75,10.8,4.8,7.8,1.9,0.116
68,3,9,2002,2.93,0,0,1.11,1.33,0.607,2.75,6.93,0.927,3.93,4.96,0.117
69,3,10,2002,5.06,0,0,1.16,1.39,0.613,2.75,9.38,3.38,6.38,4.46,0.118
70,3,11,2002,1.90E-04,0,0,1.36,1.73,0.602,2.75,9.02,3.02,6.02,12.2,0.12
71,3,12,2002,0,0,0,1.14,1.45,0.588,2.75,7.85,1.85,4.85,12.5,0.122
72,3,13,2002,0,0,0,1.7,2.17,0.575,2.75,7.12,1.13,4.12,13.8,0.123
73,3,14,2002,0.773,0,0,1.92,2.19,0.562,2.75,6.57,0.57,3.57,13.8,0.124
74,3,15,2002,6.44,0,0,0.734,0.919,0.566,2.75,7.73,1.73,4.73,5.56,0.125
75,3,16,2002,0.443,0,0,1.1,1.25,0.557,2.75,10.9,4.9,7.9,11.5,0.127
76,3,17,2002,2.65,0,0,0.774,0.968,0.553,2.75,10.8,4.79,7.79,5.34,0.129
77,3,18,2002,5.47,0,0,0.535,0.663,0.563,2.75,9.69,3.69,6.69,2.63,0.131
78,3,19,2002,0.916,0,0,0.591,0.737,0.556,2.75,10.1,4.13,7.13,7.24,0.133
