precip,snofall,snomlt,et,flo_out
0.718,0,0,0.736,0.346
6.71,0,0,2.15,0.606
7.11,0,0,1.71,0.82
3,0,0,1.34,0.695
4.86,0,0,1.92,0.676
1.88E-02,0,0,1.65,0.467
1.63,0,0,2.08,0.341
0,0,0,1.5,0.235
6.37E-02,0,0,1.83,0.166
4.67,0,0,1.86,0.276
0.172,0,0,0.982,0.179
3.45E-02,0,0,1.17,0.126
7.04,0,0,1.67,0.431
0.651,0,0,0.759,0.287
0,0,0,1.33,0.2
0,0,0,1.16,0.141
1.93,0,0,0.561,0.116
0,0,0,1.93,7.40E-02
0,0,0,1.58,5.17E-02
0,0,0,1.44,3.58E-02
0,0,0,1.88,2.43E-02
0,0,0,2.04,1.66E-02
5.04,0,0,2.39,4.22E-02
0,0,0,1.15,1.53E-02
9.37E-02,0,0,1.9,1.10E-02
1.53,0,0,0.763,1.36E-02
0.109,0,0,1.54,6.33E-03
2.03,0,0,1.53,1.32E-02
12.5,0,0,2.5,0.402
13.3,0,0,0.492,0.963
12.1,0,0,0.897,1.35
4.86,0,0,1.91,1.27
7.76E-02,0,0,1.45,0.883
21.9,0,0,2.6,1.85
8.31,0,0,0.35,1.77
9.33,0,0,0.362,1.82
4.53,0,0,0.384,1.59
8.41E-02,0,0,2.37,1.11
14.5,0,0,1.06,1.65
7.84,0,0,2.26,1.76
4.09,0,0,0.898,1.41
21.3,0,0,0.714,2.23
1.46,0,0,1.61,1.61
0,0,0,1.61,1.13
4.74,0,0,2.09,1.03
0,0,0,1.2,0.712
0.114,0,0,0.543,0.506
7.06,0,0,0.78,0.717
2.46,0,0,0.384,0.691
0,0,0,2.13,0.48
0,0,0,1.5,0.341
0,0,0,1.37,0.243
2.64,0,0,2.13,0.184
13.5,0,0,1.16,0.808
0.697,0,0,1.52,0.536
6.63,0,0,0.76,0.651
4.53,0,0,0.904,0.659
0.497,0,0,0.971,0.459
7.47,0,0,2.14,0.845
17.1,0,0,0.273,1.92
1.83,0,0,1.45,1.37
9.91,0,0,0.883,1.57
0.114,0,0,0.993,1.07
1.88E-02,0,0,0.575,0.76
0.477,0,0,1.07,0.542
8.41E-02,0,0,0.413,0.385
29,0,0,0.866,2.4
8.11,0,0,1.09,2.02
2.16,0,0,1.49,1.49
2.49,0,0,1.29,1.11
0.75,0,0,1.09,0.785
0,0,0,0.994,0.557
